,Source,ObjectID,Title,Year,Medium,Artist,ArtistOrder,ConstituentID,Nationality,Gender,BeginDate,EndDate,Wiki QID,ULAN
15,MoMA,2200,Pitcher,1954.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
16,MoMA,2205,Tumblers,1954.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
17,MoMA,2243,Vase,1955.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
18,MoMA,2256,Jäkälä Vase,1950.0,Glass,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
19,MoMA,2369,Sauna Stool,1952.0,Wood,Antti Nurmesniemi,23,6613,Finnish,male,1927,2003,Q4777425,500003545.0
20,MoMA,2478,Stools (model Y61),1946.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
21,MoMA,2490,Gyro Chair,1968.0,Glass,Eero Aarnio,3,36,Finnish,male,1932,0,Q707025,500270610.0
22,MoMA,2540,Kilta Tableware,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
23,MoMA,2541,Kilta Tableware,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
24,MoMA,2542,Kilta Tableware,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
25,MoMA,2543,Kilta Tableware,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
26,MoMA,2544,Kilta Tableware,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
27,MoMA,2549,Convertible Sofa,1930.0,Metal,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
28,MoMA,2553,Stacking Stool (model 60),1932.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
29,MoMA,2556,Stool (model X600),1954.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
30,MoMA,2729,Tea Trolley (model 98),1936.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
31,MoMA,2747,Dinner Plates,1954.0,Ceramics,Friedl Holzer-Kjellberg,12,2715,Finnish,male,1905,1993,,
32,MoMA,2827,Pitcher,1954.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
33,MoMA,2837,Tumblers,1953.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
34,MoMA,2843,Munankuori Bowl (model 3303),1947.0,Glass,Gunnel Nyman,24,4352,Finnish,male,1909,1948,Q4970605,500279544.0
35,MoMA,2883,Aarne Glasses,1948.0,Glass,Göran Hongell,13,2720,Finnish,male,1902,1973,,
36,MoMA,2893,Triennale Cocktail Glass,1956.0,Glass,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0
37,MoMA,2926,Kilta Creamer,1953.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
38,MoMA,2936,Kilta Egg Cups,1953.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
39,MoMA,2952,Carafe,1978.0,Glass,Olli Aninbaum,4,5796,Finnish,male,1945,2019,,
40,MoMA,2986,Platter,1951.0,Wood,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
41,MoMA,2990,Salt and Pepper Shakers,1947.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
42,MoMA,2996,Bowl,1957.0,Wood,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
43,MoMA,3011,Bowl,1957.0,Wood,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
44,MoMA,3058,Vase,1956.0,Ceramics,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
45,MoMA,3065,Bowl,1950.0,Glass,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
46,MoMA,3069,Platter,1956.0,Glass,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0
47,MoMA,3095,Incandescent Bulb (model 85),1959.0,Glass,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
48,MoMA,3098,Container,1954.0,Glass,Saara Hopea,14,2724,Finnish,female,1925,1984,,
49,MoMA,3100,Incandescent Bulb (model WIR105),1959.0,Glass,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
50,MoMA,3116,Platter,1949.0,Glass,Nanny Still,31,5666,Finnish,female,1926,2009,,
51,MoMA,3120,Tumblers,1953.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
52,MoMA,3121,Table Lamp,1955.0,Plastic,Yki Nummi,22,4346,Finnish,male,1925,1984,,
53,MoMA,3122,Platter,1950.0,Wood,Nanny Still,31,5666,Finnish,female,1926,2009,,
54,MoMA,3166,Vase,1957.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
55,MoMA,3168,Stacking Armchair,1929.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
56,MoMA,3169,Carafe,1956.0,Glass,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0
57,MoMA,3171,Cantilevered Stacking Side Chair,1930.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
58,MoMA,3173,Side Chair,1932.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
59,MoMA,3175,Cantilevered Armchair (model 406),1970.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
60,MoMA,3190,Tumblers and Schnapps Glass,1951.0,Glass,Saara Hopea,14,2724,Finnish,female,1925,1984,,
61,MoMA,3250,Scissors,1967.0,Metal,Olof Backstrom,7,271,Finnish,male,1922,1998,,
62,MoMA,3332,Vase (model 3580),1955.0,Glass,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
63,MoMA,3349,Puukko Knife and Sheath,1961.0,Metal,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
64,MoMA,3451,Platter,1987.0,Wood,Kari Virtanen,34,7242,Finnish,male,1948,0,,
65,MoMA,3551,Vase,1963.0,Ceramics,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
66,MoMA,3555,Cheese Plate and Cover,1963.0,Plastic,Yki Nummi,22,4346,Finnish,male,1925,1984,,
67,MoMA,3573,Tumbler,1932.0,Glass,Aino Aalto,1,35,Finnish,female,1894,1949,Q273511,500024110.0
68,MoMA,3577,Armchair (model 400) (Cantilevered armchair),1936.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
69,MoMA,3608,Tumblers (model 2064),1956.0,Glass,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
70,MoMA,3651,Pitcher,1951.0,Glass,Saara Hopea,14,2724,Finnish,female,1925,1984,,
71,MoMA,3737,Fruit Bowl,1950.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
72,MoMA,3806,Stacking Glasses,1951.0,Glass,Saara Hopea,14,2724,Finnish,female,1925,1984,,
73,MoMA,3918,Bowl,1951.0,Glass,Tapio Wirkkala,35,6409,Finnish,male,1915,1985,Q550411,500097462.0
74,MoMA,3935,Plate,1960.0,Glass,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0
75,MoMA,4087,Stool (no. V63),1946.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0
76,MoMA,4155,Otso Drinking Glasses,1978.0,Glass,Valto Kokko,17,3196,Finnish,male,1933,2017,,
77,MoMA,4202,Kilta Covered Containers,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
78,MoMA,4218,Dish,1946.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
79,MoMA,4220,Hors d'Oeuvre Dish,1957.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0
80,MoMA,4222,Marja Cocktail Glass,1956.0,Glass,Saara Hopea,14,2724,Finnish,female,1925,1984,,
81,MoMA,4227,Devil's Churn Object,1951.0,Glass,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0
82,MoMA,4228,Ball Glasses,1955.0,Glass,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0
83,MoMA,4229,Carafe,1957.0,Glass,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0
