,id,images,nonPresenterAuthors,subjects,title,year,IndividualAuthor,ArtistOrder
1299,museovirasto.243DE7502C8351E00ABBC26E2E45F126,"['/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=1&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=2&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=3&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=4&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=5&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=6&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=7&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=8&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=9&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=10&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=11&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=12&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=13&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=14&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=15&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=16&size=large', '/Cover/Show?source=Solr&id=museovirasto.243DE7502C8351E00ABBC26E2E45F126&index=17&size=large']","[{'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'valmistaja'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['tuolit'], ['huonekalut'], ['jugend']]",tuoli,1907.0,Eliel Saarinen,27
1300,museovirasto.960AFC09B9ECD000F08F151736AF6913,"['/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=1&size=large', '/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=2&size=large', '/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=3&size=large', '/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=4&size=large', '/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=5&size=large', '/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=6&size=large', '/Cover/Show?source=Solr&id=museovirasto.960AFC09B9ECD000F08F151736AF6913&index=7&size=large']","[{'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'valmistaja'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['kirjoituspöydät'], ['art nouveau'], ['huonekalut'], ['pöydät'], ['upotuskoristelu']]",kirjoituspöytä,1907.0,Eliel Saarinen,27
1301,museovirasto.B53D0B0071A1C0AC9FAE6AAA734A30EB,"['/Cover/Show?source=Solr&id=museovirasto.B53D0B0071A1C0AC9FAE6AAA734A30EB&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.B53D0B0071A1C0AC9FAE6AAA734A30EB&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'tekijä'}]","[['taide'], ['taulut'], ['litografia'], ['sisustus'], ['art nouveau'], ['jugend'], ['grafiikka']]",taulu; sisäkuva; sisäkuva Hvitträskistä,1907.0,Eliel Saarinen,27
1302,museovirasto.2E03B443387C42723902FDAFDF41E18D,"['/Cover/Show?source=Solr&id=museovirasto.2E03B443387C42723902FDAFDF41E18D&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.2E03B443387C42723902FDAFDF41E18D&index=1&size=large']","[{'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'tekijä'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['sohvat'], ['huonekalut'], ['art nouveau'], ['sisustus']]",sohva,1908.0,Eliel Saarinen,27
1303,museovirasto.33F78527F7D8C37418C5CA6049A80196,"['/Cover/Show?source=Solr&id=museovirasto.33F78527F7D8C37418C5CA6049A80196&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.33F78527F7D8C37418C5CA6049A80196&index=1&size=large']","[{'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'tekijä'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['sisustus'], ['peilit'], ['seinäpeilit'], ['art nouveau']]",peili; seinäpeili,1908.0,Eliel Saarinen,27
1304,museovirasto.4007CAC4F34C57A42B61B809322B9B01,"['/Cover/Show?source=Solr&id=museovirasto.4007CAC4F34C57A42B61B809322B9B01&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.4007CAC4F34C57A42B61B809322B9B01&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}, {'name': 'Niskala-Luostarinen, Marke', 'role': 'suunnittelija'}]","[['jakkarat'], ['istuimet'], ['huonekalut'], ['sisustus'], ['art nouveau'], ['lastenhuoneet']]",jakkara (kopio); lastenjakkara,1908.0,Eliel Saarinen,27
1305,museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0,"['/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=1&size=large', '/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=2&size=large', '/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=3&size=large', '/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=4&size=large', '/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=5&size=large', '/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=6&size=large', '/Cover/Show?source=Solr&id=museovirasto.532EC5CA599DFE74D8EAB6A06677FDE0&index=7&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}, {'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'valmistaja'}]","[['tuolit'], ['huonekalut']]",tuoli; nojatuoli,1908.0,Eliel Saarinen,27
1306,museovirasto.56F6A3AEA66228CF64087409E8D1434D,"['/Cover/Show?source=Solr&id=museovirasto.56F6A3AEA66228CF64087409E8D1434D&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.56F6A3AEA66228CF64087409E8D1434D&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['sisustus'], ['pöydät'], ['huonekalut'], ['jugend'], ['art nouveau']]",pöytä; lastenhuoneen pöytä,1908.0,Eliel Saarinen,27
1307,museovirasto.5EA54FD4BF682B875F17560791172063,"['/Cover/Show?source=Solr&id=museovirasto.5EA54FD4BF682B875F17560791172063&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.5EA54FD4BF682B875F17560791172063&index=1&size=large', '/Cover/Show?source=Solr&id=museovirasto.5EA54FD4BF682B875F17560791172063&index=2&size=large', '/Cover/Show?source=Solr&id=museovirasto.5EA54FD4BF682B875F17560791172063&index=3&size=large']","[{'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'tekijä'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['art nouveau'], ['yöpöydät'], ['huonekalut'], ['makuuhuoneet'], ['sisal']]",yöpöytä,1908.0,Eliel Saarinen,27
1308,museovirasto.6879952E7550C3B74BE8AA9B88FCA872,"['/Cover/Show?source=Solr&id=museovirasto.6879952E7550C3B74BE8AA9B88FCA872&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.6879952E7550C3B74BE8AA9B88FCA872&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}, {'name': 'Niskala-Luostarinen, Marke', 'role': 'suunnittelija'}]","[['sisustus'], ['huonekalut'], ['istuimet'], ['lastenhuoneet'], ['jakkarat'], ['art nouveau']]",jakkara (kopio); lastenjakkara,1908.0,Eliel Saarinen,27
1309,museovirasto.7352C9DE98E6F29ADA02692DA5B0811E,"['/Cover/Show?source=Solr&id=museovirasto.7352C9DE98E6F29ADA02692DA5B0811E&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.7352C9DE98E6F29ADA02692DA5B0811E&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}, {'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'valmistaja'}]","[['tuolit'], ['huonekalut']]",nojatuoli; tuoli,1908.0,Eliel Saarinen,27
1310,museovirasto.CB0C0CCA155D8EF0E5703AAC97082166,"['/Cover/Show?source=Solr&id=museovirasto.CB0C0CCA155D8EF0E5703AAC97082166&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.CB0C0CCA155D8EF0E5703AAC97082166&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}, {'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'valmistaja'}]","[['tuolit'], ['huonekalut']]",nojatuoli; tuoli,1908.0,Eliel Saarinen,27
1311,museovirasto.D14BFC4A70485757E17980CD4344422A,"['/Cover/Show?source=Solr&id=museovirasto.D14BFC4A70485757E17980CD4344422A&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.D14BFC4A70485757E17980CD4344422A&index=1&size=large', '/Cover/Show?source=Solr&id=museovirasto.D14BFC4A70485757E17980CD4344422A&index=2&size=large', '/Cover/Show?source=Solr&id=museovirasto.D14BFC4A70485757E17980CD4344422A&index=3&size=large']","[{'name': 'Arabia', 'role': 'tekijä'}, {'name': 'Niskala-Luostarinen, Marke', 'role': 'suunnittelija'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['uunit'], ['kaakeliuunit'], ['tulisijat'], ['luukut'], ['kuparityöt'], ['kaakelit'], ['arkkitehtuuri'], ['art nouveau'], ['rekonstruktiot'], ['lastenhuoneet']]",tulisija; uuni; kaakeliuuni,1908.0,Eliel Saarinen,27
1312,museovirasto.DFD07C8D3522033ABB7D262036EDF7CA,"['/Cover/Show?source=Solr&id=museovirasto.DFD07C8D3522033ABB7D262036EDF7CA&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.DFD07C8D3522033ABB7D262036EDF7CA&index=1&size=large', '/Cover/Show?source=Solr&id=museovirasto.DFD07C8D3522033ABB7D262036EDF7CA&index=2&size=large', '/Cover/Show?source=Solr&id=museovirasto.DFD07C8D3522033ABB7D262036EDF7CA&index=3&size=large']","[{'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'tekijä'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['pöydät'], ['sohvapöydät'], ['art nouveau'], ['huonekalut'], ['sisustus']]",pöytä; sohvapöytä,1908.0,Eliel Saarinen,27
1313,museovirasto.FB0F82C9A902D92175053B0B1393B382,"['/Cover/Show?source=Solr&id=museovirasto.FB0F82C9A902D92175053B0B1393B382&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.FB0F82C9A902D92175053B0B1393B382&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}, {'name': 'N. Bomanin höyrypuusepäntehdas', 'role': 'valmistaja'}]","[['tuolit'], ['huonekalut']]",nojatuoli; tuoli,1908.0,Eliel Saarinen,27
1314,museovirasto.FF5848D2986CE72260ABA36248820A4F,"['/Cover/Show?source=Solr&id=museovirasto.FF5848D2986CE72260ABA36248820A4F&index=0&size=large', '/Cover/Show?source=Solr&id=museovirasto.FF5848D2986CE72260ABA36248820A4F&index=1&size=large']","[{'name': 'Saarinen, Eliel', 'role': 'suunnittelija'}]","[['yöpöydät'], ['makuuhuoneet'], ['huonekalut'], ['sisustus']]",pöytä; yöpöytä,1908.0,Eliel Saarinen,27
1315,hkm.1906069E-8FF9-42F4-A853-F70DBB22F27D,['/Cover/Show?source=Solr&id=hkm.1906069E-8FF9-42F4-A853-F70DBB22F27D&index=0&size=large'],"[{'name': 'Suomen Pankki', 'role': 'valmistaja'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija', 'id': 'https://isni.org/isni/0000000108899346'}]","[['paperirahat'], ['setelit']]",seteli; viisisataa markkaa,1909.0,Eliel Saarinen,27
1316,hkm.6A7DFB4B-1714-4FC4-BF78-6AE024E60871,['/Cover/Show?source=Solr&id=hkm.6A7DFB4B-1714-4FC4-BF78-6AE024E60871&index=0&size=large'],"[{'name': 'Suomen Pankki', 'role': 'valmistaja'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija', 'id': 'https://isni.org/isni/0000000108899346'}]","[['paperirahat'], ['setelit']]",seteli; sata markkaa,1909.0,Eliel Saarinen,27
1317,hkm.80AAC746-4282-4ABE-B762-0C866EA0AF00,['/Cover/Show?source=Solr&id=hkm.80AAC746-4282-4ABE-B762-0C866EA0AF00&index=0&size=large'],"[{'name': 'Tervakoski Oy', 'role': 'valmistaja'}, {'name': 'Suomen Pankin Setelipaino', 'role': 'paino'}, {'name': 'Saarinen, Eliel', 'role': 'suunnittelija', 'id': 'https://isni.org/isni/0000000108899346'}]","[['paperirahat'], ['setelit']]",seteli; viisikymmentä markkaa,1909.0,Eliel Saarinen,27
