,Title,Artist,ConstituentID,Date,Medium,CreditLine,AccessionNumber,DateAcquired,ObjectID,ApproxDate,YearAcquired
2674,Vase,Tapio Wirkkala,6409,1963,Glazed porcelain,Gift of the manufacturer,425.1964,1964-04-14,3551,1963.0,1964
2678,Cheese Plate and Cover,Yki Nummi,4346,1963,Plastic and walnut,Greta Daniel Design Fund,426.1964.a-b,1964-04-14,3555,1963.0,1964
2695,Tumbler,Aino Aalto,35,1932,Pressed glass,Greta Daniel Fund,431.1983,1983-05-17,3573,1932.0,1983
2699,Armchair (model 400) (Cantilevered armchair),Alvar Aalto,34,1936,Laminated birch and upholstery,Estée and Joseph Lauder Design Fund,432.1983,1983-05-17,3577,1936.0,1983
2730,Tumblers (model 2064),Tapio Wirkkala,6409,c. 1956,Glass,Purchase,441.1992.1-3,1992-10-21,3608,1956.0,1992
2767,Pitcher,Saara Hopea,2724,1951,Blown glass,Gift of Barbro Kulvik and Antti Siltavuori,449.1983,1983-05-17,3651,1951.0,1983
2848,Fruit Bowl,Kaj Franck,1968,c. 1950,Blown glass,Gift of Peter S. Reed,394.1994,1994-09-21,3737,1950.0,1994
2911,Stacking Glasses,Saara Hopea,2724,1951,Blown glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.1-4,1983-05-17,3806,1951.0,1983
3013,Bowl,Tapio Wirkkala,6409,1951,Crystal,Purchase,466.1956,1956-10-25,3918,1951.0,1956
3030,Plate,Timo Sarpaneva,5168,1960s,Glass,Gift of the Contemporary Arts Council of The Museum of Modern Art in memory of Hedi Kravis Ruger,468.1997,1997-10-17,3935,1960.0,1997
3169,Stool (no. V63),Alvar Aalto,34,1946-47,Solid and laminated wood and rattan,Marshall Cogan Purchase Fund,558.1981,1981-12-10,4087,1946.0,1981
3234,Otso Drinking Glasses,Valto Kokko,3196,1978,Glass,Gift of the manufacturer,639.1980.1-6,1980-10-30,4155,1978.0,1980
3268,Kilta Covered Containers,Kaj Franck,1968,1948,Glazed earthenware,Gift of Waertsila Corp.,669.1954.1-4,1954-12-16,4202,1948.0,1954
3283,Dish,Kaj Franck,1968,1946,Mold-blown glass,Gift from the collection of Mr. and Mrs. Albert Greene,682.1995,1995-09-20,4218,1946.0,1995
3285,Hors d'Oeuvre Dish,Kaj Franck,1968,1957,Earthenware,Gift of Mr. & Mrs. Walter Hochschild Purchase Fund,683.1995.1-2,1995-09-17,4220,1957.0,1995
3287,Marja Cocktail Glass,Saara Hopea,2724,1956,Blown glass,Mr. and Mrs. Hochschild Purchase Fund,685.1995.1-4,1995-09-20,4222,1956.0,1995
3292,Devil's Churn Object,Timo Sarpaneva,5168,1951,"Hand-shaped, sand-blasted, and acid-polished glass",Gift from the collection of Mr. and Mrs. Albert Greene,690.1995,1995-09-20,4227,1951.0,1995
3293,Ball Glasses,Timo Sarpaneva,5168,1955,Blown glass,Mr. and Mrs. Walter Hochschild Purchase Fund,691.1995.1-5,1995-09-20,4228,1955.0,1995
3294,Carafe,Timo Sarpaneva,5168,1957,Glass,Mr. and Mrs. Walter Hochschild Purchase Fund,692.1995,1995-09-20,4229,1957.0,1995
3328,Coffeepots,Antti Nurmesniemi,6613,1957,Enameled steel and plastic,Gift of the designer,505.1990.1-2,1990-10-24,4263,1957.0,1990
3406,Ovalis Vase,Tapio Wirkkala,6409,1958,Crystal,Gift of the manufacturer,539.1977,1977-11-28,4352,1958.0,1977
3434,Paimio Lounge Chair (model 41),Alvar Aalto,34,1931-1932,Laminated birch and lacquered molded plywood,"Edgar Kaufmann, Jr. Fund",711.1943,1943-11-04,4385,1931.0,1943
3436,Savoy Vase,Alvar Aalto,34,1936–1937,Mold-blown glass,"Gift of Artek-Pascoe, Inc.",712.1943,1943-11-04,4387,1936.0,1943
3443,Candle Holder,Nanny Still,5666,c. 1949-63,Glass and wood,Purchase,717.1966.a-b,1966-12-06,4396,1949.0,1966
3448,Vase (model 2789/24/1517),Tapio Wirkkala,6409,1963,Porcelain,Gift of the manufacturer,721.1966,1966-12-06,4403,1963.0,1966
3451,Side Table,Alvar Aalto,34,1931-32,Laminated birch and lacquered molded plywood,Architecture and Design Interest Fund,722.1983,1983-11-30,4406,1931.0,1983
3452,Armchair,Alvar Aalto,34,1932-33,Birch and upholstery,Marcel Breuer Design Fund,723.1983,1983-11-30,4407,1932.0,1983
3453,Tea Trolley (model 98),Alvar Aalto,34,1936–1937,"Laminated birch, linoleum, and rubber",Marshall Cogan Purchase Fund,724.1983,1983-11-30,4408,1936.0,1983
3460,Shot Glasses,Kaj Franck,1968,1953,Molded glass,Purchase,730.1983.1-6,1983-11-30,4416,1953.0,1983
3477,Tumbler (model i-103),Timo Sarpaneva,5168,1956,Blown glass,Purchase,742.1983,1983-11-30,4437,1956.0,1983
3492,Stacking Armchair (model 403),Alvar Aalto,34,1931–1932,Lacqured birch and enamelled birch plywood,Purchase,833.1942,1942-01-01,4460,1931.0,1942
3616,Pisaranrengas Glasses,Timo Sarpaneva,5168,1963,Glass,Gift of Emilio Ambasz,1134.1969.1-3,1969-12-01,4601,1963.0,1969
3655,Vase,Alvar Aalto,34,1936–1956,Mold-blown glass,Given anonymously,1295.2001,2001-04-30,4658,1936.0,2001
3657,Tumbler (2746),Kaj Franck,1968,1954,Turn mold-blown glass,Given anonymously,1300.2001,2001-04-30,4663,1954.0,2001
3660,Aarne Shot Glasses,Göran Hongell,2720,1948,Turn mold-blown glass,Given anonymously,1303.2001.1-6,2001-04-30,4666,1948.0,2001
3699,Composition Cutlery,Tapio Wirkkala,6409,1963,Stainless steel,Given anonymously,1341.2001.1-12,2001-04-30,4706,1963.0,2001
3714,Bowl,Tapio Wirkkala,6409,1957,Laminated teak and palisander wood,Anonymous gift,1431.2001,2001-04-30,4726,1957.0,2001
3740,Stool,Antti Nurmesniemi,6613,1964,Chrome-plated steel and leather,"Gift of Bonniers, Inc.",2238.1967,1967-10-18,4754,1964.0,1967
4837,Poster for Bil Aktiebolaget (Car Company Inc.),Akseli Gallen-Kallela,2059,1907,Lithograph,Purchase and gift of Aivi and Pirkko Gallen-Kallela,267.1986,1986-10-07,5950,1907.0,1986
6219,DDT,"Jukka Veistola, Tapio Salmelainen","6123, 11621",1970,Offset lithograph,Gift of the designers,514.1987,1987-11-18,7344,1970.0,1987
6223,UNICEF poster,Jukka Veistola,6123,1969,Offset lithograph,Gift of the designer,515.1987,1987-11-18,7348,1969.0,1987
7703,Karhula-Iitala,Timo Sarpaneva,5168,c. 1955,Photolithograph,Gift of the designer,1537.2000,2000-12-11,8834,1955.0,2000
7750,Finland,Per-Olof Nyström,23348,1960,Lithograph and photolithograph,Gift of the designer,1576.2000,2000-12-11,8881,1960.0,2000
75622,Swell Soundwave Panels,Teppo Asikainen,22564,1999-2000,Recyclable polyester fiber,Gift of the manufacturer,1403.2001.1-9,2001-05-11,82135,1999.0,2001
75648,Globlow Lamp,"Vesa Hinkola, Markus Nevalainen, Rane Vaskivuori","22586, 22574, 22587",1996,"Steel, nylon, and 12W fan",Gift of the manufacturer,1417.2001,2001-05-11,82161,1996.0,2001
76108,Lansetti I,Timo Sarpaneva,5168,1952,Clear and white opal glass,Gift of Edgar Smith,2393.2001,2001-10-09,82729,1952.0,2001
76109,Orchid Bud Vase,Timo Sarpaneva,5168,c. 1953,Glass,Gift of Edgar Smith,2392.2001,2001-10-09,82730,1953.0,2001
77233,Vase (3031),Alvar Aalto,34,1936,Mold-blown glass,Gift of Clarissa Alcock Bronfman,150.2002,2002-05-13,84130,1936.0,2002
80951,Vase (3031),Alvar Aalto,34,1936,Mold-blown glass,Gift of Rob Beyer,347.2004,2004-04-22,89289,1936.0,2004
81533,Stacking Glasses,Saara Hopea,2724,1951,Blown glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.1,1983-05-17,91414,1951.0,1983
81712,Tumbler,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,120.1992.1,1992-01-15,91791,1954.0,1992
81713,Tumbler,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,120.1992.2,1992-01-15,91792,1954.0,1992
81714,Tumbler,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,120.1992.3,1992-01-15,91793,1954.0,1992
81715,Tumbler,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,120.1992.4,1992-01-15,91794,1954.0,1992
81716,Tumbler,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,120.1992.5,1992-01-15,91795,1954.0,1992
81717,Tumbler,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,120.1992.6,1992-01-15,91796,1954.0,1992
82573,Stacking Stools (model 60),Alvar Aalto,34,1932-33,Birch,Gift of the manufacturer,493.2004.1-9,2004-10-14,93103,1932.0,2004
86481,"""Lehti"" Tray",Maria Jauhiainen,29260,2001-03,Brass and polymer-based enamel,Agnes Gund Purchase Fund,837.2005,2005-10-18,99011,2001.0,2005
86845,Side Chair,Alvar Aalto,34,c. 1930,Birch,Gift of Henry-Russell Hitchcock,466.1972,1972-04-11,100389,1930.0,1972
