,Title,Artist,ConstituentID,Date,Medium,CreditLine,AccessionNumber,DateAcquired,ObjectID,ApproxDate,YearAcquired,ArtistOrder
81717,Tumbler,Kaj Franck,1968,1954,Glass,Best Products Co. Fund,120.1992.6,1992-01-15,91796,1954.0,1992,8
82573,Stacking Stools (model 60),Alvar Aalto,34,1932-33,Wood,Gift of the manufacturer,493.2004.1-9,2004-10-14,93103,1932.0,2004,2
86481,"""Lehti"" Tray",Maria Jauhiainen,29260,2001-03,Metal,Agnes Gund Purchase Fund,837.2005,2005-10-18,99011,2001.0,2005,15
86845,Side Chair,Alvar Aalto,34,c. 1930,Wood,Gift of Henry-Russell Hitchcock,466.1972,1972-04-11,100389,1930.0,1972,2
88823,Stacking Glasses,Saara Hopea,2724,1951,Glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.2,1983-05-17,105847,1951.0,1983,14
88824,Stacking Glasses,Saara Hopea,2724,1951,Glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.3,1983-05-17,105848,1951.0,1983,14
88825,Stacking Glasses,Saara Hopea,2724,1951,Glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.4,1983-05-17,105849,1951.0,1983,14
110264,Puppy,Eero Aarnio,36,2005,Plastic,Gift of the manufacturer,131.2013.1-2,2013-02-11,161383,2005.0,2013,3
132689,Untitled,Eliel Saarinen,64766,n.d.,Paper,"Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",2130.2018,2018-11-05,289373,1911.0,2018,27
135261,Tracing\Piece 1,Caroline Slotte,131528,2015,Plastic,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,168.2019,2019-11-04,396735,2015.0,2019,30
135262,Tracing\Piece 2,Caroline Slotte,131528,2015,Ceramics,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,169.2019,2019-11-04,396736,2015.0,2019,30
135263,Damaged Goods\Piece 1,Caroline Slotte,131528,2009,Ceramics,Gift of Lise Stolt-Nielsen and the Architecture & Design Purchase Fund,166.2019,2019-11-04,396737,2009.0,2019,30
135264,Damaged Goods\Piece 2,Caroline Slotte,131528,2012,Plastic,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,167.2019,2019-11-04,396738,2012.0,2019,30
135265,Under Blue Skies,Caroline Slotte,131528,2015,Ceramics,Gift of Lise Stolt-Nielsen and the Committee on Architecture and Design Funds,170.2019,2019-11-04,396739,2015.0,2019,30
